Gene	sgRNA	eff
Phatr3_J35692	Phatr3_J35692_130	1
Phatr3_J35692	Phatr3_J35692_241	1
Phatr3_J35692	Phatr3_J35692_371	1
Phatr3_J20192	Phatr3_J20192_496	1
Phatr3_J20192	Phatr3_J20192_319	1
Phatr3_J20192	Phatr3_J20192_933	1
Phatr3_J20192	Phatr3_J20192_402	1
Phatr3_J20192	Phatr3_J20192_509	1
Phatr3_J20192	Phatr3_J20192_364	1
Phatr3_J20192	Phatr3_J20192_596	1
Phatr3_EG01533	Phatr3_EG01533_408	1
Phatr3_EG01533	Phatr3_EG01533_545	1
Phatr3_EG01533	Phatr3_EG01533_642	1
Phatr3_EG01533	Phatr3_EG01533_724	1
Phatr3_EG01533	Phatr3_EG01533_432	1
Phatr3_EG01533	Phatr3_EG01533_679	1
Phatr3_EG01533	Phatr3_EG01533_858	1
Phatr3_J48215	Phatr3_J48215_711	1
Phatr3_J48215	Phatr3_J48215_1186	1
Phatr3_J48215	Phatr3_J48215_499	1
Phatr3_J48215	Phatr3_J48215_127	1
Phatr3_J48215	Phatr3_J48215_571	1
Phatr3_J48215	Phatr3_J48215_970	1
Phatr3_J48215	Phatr3_J48215_636	1
Phatr3_J49205	Phatr3_J49205_326	1
Phatr3_J49205	Phatr3_J49205_288	1
Phatr3_J49205	Phatr3_J49205_503	1
Phatr3_J49205	Phatr3_J49205_625	1
Phatr3_J49205	Phatr3_J49205_210	1
Phatr3_J49205	Phatr3_J49205_161	1
Phatr3_J49205	Phatr3_J49205_409	1
Phatr3_EG01725	Phatr3_EG01725_196	1
Phatr3_EG01725	Phatr3_EG01725_81	1
Phatr3_EG01725	Phatr3_EG01725_399	1
Phatr3_EG01725	Phatr3_EG01725_70	1
Phatr3_EG01725	Phatr3_EG01725_368	1
Phatr3_EG01725	Phatr3_EG01725_144	1
Phatr3_EG01725	Phatr3_EG01725_205	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_214	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_856	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_874	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_25	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1244	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_400	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1149	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_783	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_668	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_104	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_46	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_490	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1331	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1072	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_420	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_638	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_882	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1107	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1190	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1146	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_922	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_360	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_531	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_134	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_21	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1234	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_817	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_768	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1187	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_625	1
