Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_Jdraft1735,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1478133333333336,3.2369364515521546e-06,Tier 1 (Hard)
Phatr3_EG02437,t1_Fe_deplete_vs_t1_Mn_deplete,-2.147636666666666,3.2369364515521546e-06,Tier 1 (Hard)
Phatr3_J47999,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1472333333333333,3.2369364515521546e-06,Tier 1 (Hard)
Phatr3_J9709,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1421666666666668,3.452360085677121e-06,Tier 1 (Hard)
Phatr3_J37459,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1398813333333333,3.53356386349976e-06,Tier 1 (Hard)
Phatr3_J23924,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1382233333333334,3.583566621362388e-06,Tier 1 (Hard)
Phatr3_J45822,t1_Fe_deplete_vs_t1_Mn_deplete,-2.135947333333333,3.667939698637213e-06,Tier 1 (Hard)
Phatr3_J9320,t1_Fe_deplete_vs_t1_Mn_deplete,-2.125153333333333,4.2311631197958925e-06,Tier 1 (Hard)
Phatr3_J6934,t1_Fe_deplete_vs_t1_Mn_deplete,-2.124867333333333,4.2311631197958925e-06,Tier 1 (Hard)
Phatr3_J36398,t1_Fe_deplete_vs_t1_Mn_deplete,-2.113586333333333,4.942252976150031e-06,Tier 1 (Hard)
Phatr3_J48735,t1_Fe_deplete_vs_t1_Fe_replete,-2.1074866666666665,0.0078732957960942,Tier 1 (Hard)
Phatr3_J42126,t1_Fe_deplete_vs_t1_Mn_deplete,-2.10708,5.381059632688348e-06,Tier 1 (Hard)
Phatr3_J37793,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0993500000000003,5.962908227586699e-06,Tier 1 (Hard)
Phatr3_J17044,t1_Fe_deplete_vs_t1_Mn_deplete,-2.089483,6.813254022659768e-06,Tier 1 (Hard)
Phatr3_J30461,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0844533333333333,7.256459422054175e-06,Tier 1 (Hard)
Phatr3_EG02265,t1_Fe_deplete_vs_t1_Fe_replete,-2.08419,0.0090817702211996,Tier 1 (Hard)
Phatr3_J43656,t1_Fe_deplete_vs_t1_Mn_deplete,-2.083444,7.292808091666611e-06,Tier 1 (Hard)
Phatr3_J15730,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0782516666666666,7.785302671040418e-06,Tier 1 (Hard)
Phatr3_J6282,t1_Fe_deplete_vs_t1_Fe_replete,-2.0722033333333334,0.0096602377624454,Tier 1 (Hard)
Phatr3_EG02217,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0624366666666667,9.676294313606196e-06,Tier 1 (Hard)
Phatr3_J34899,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0521100000000003,1.1107390605009157e-05,Tier 1 (Hard)
Phatr3_J49866,t1_Fe_deplete_vs_t1_Mn_deplete,-2.047623333333333,1.172996944648494e-05,Tier 1 (Hard)
Phatr3_J47739,t1_Fe_deplete_vs_t1_Mn_deplete,-2.041289,1.2715208432831109e-05,Tier 1 (Hard)
Phatr3_J50371,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0376416666666666,1.3267647726156984e-05,Tier 1 (Hard)
Phatr3_J11402,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0358066666666668,1.3494433216314813e-05,Tier 1 (Hard)
Phatr3_J24792,t1_Fe_deplete_vs_t1_Mn_deplete,-2.032860666666666,1.3942635663568316e-05,Tier 1 (Hard)
Phatr3_EG01836,t1_Mn_deplete_vs_t1_Fe_deplete,-2.02625,1.5168195011151578e-05,Tier 1 (Hard)
Phatr3_J48599,t1_Fe_deplete_vs_t1_Mn_deplete,-2.021353333333334,1.6106378824501507e-05,Tier 1 (Hard)
Phatr3_EG01882,t1_Fe_deplete_vs_t1_Mn_deplete,-2.018746666666667,1.6561667174119776e-05,Tier 1 (Hard)
Phatr3_J34244,t1_Fe_deplete_vs_t1_Mn_deplete,-2.0041433333333334,2.013302257690241e-05,Tier 1 (Hard)
Phatr3_J39571,t1_Fe_deplete_vs_t1_Mn_deplete,-1.997792,2.178413318273028e-05,Tier 1 (Hard)
Phatr3_J38262,t1_Fe_deplete_vs_t1_Mn_deplete,-1.996973,2.178413318273028e-05,Tier 1 (Hard)
Phatr3_J48245,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9966446666666668,2.178413318273028e-05,Tier 1 (Hard)
Phatr3_J54998,t1_Mn_deplete_vs_t1_Fe_deplete,-1.994966666666667,2.211235190517463e-05,Tier 1 (Hard)
Phatr3_EG02334,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9940813333333327,2.2201663326914724e-05,Tier 1 (Hard)
Phatr3_EG01264,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9795666666666665,2.690459472894644e-05,Tier 1 (Hard)
Phatr3_J33580,t1_Fe_deplete_vs_t1_Mn_deplete,-1.970886666666667,3.0063872469015918e-05,Tier 1 (Hard)
Phatr3_J28445,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9477133333333332,4.0891635463722765e-05,Tier 1 (Hard)
Phatr3_J29666,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9456126666666669,4.1492500114254834e-05,Tier 1 (Hard)
Phatr3_J48753,t1_Fe_deplete_vs_t1_Mn_deplete,-1.945463333333333,4.1492500114254834e-05,Tier 1 (Hard)
Phatr3_J43416,t1_Fe_deplete_vs_t1_Mn_deplete,-1.94169,4.332280388093246e-05,Tier 1 (Hard)
Phatr3_J36386,t1_Fe_deplete_vs_t1_Mn_deplete,-1.940431,4.368969790851158e-05,Tier 1 (Hard)
Phatr3_J26750,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9398433333333331,4.368969790851158e-05,Tier 1 (Hard)
Phatr3_EG02227,t1_Fe_deplete_vs_t1_Mn_deplete,-1.939349,4.368969790851158e-05,Tier 1 (Hard)
Phatr3_J42644,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9319426666666668,4.790498232126697e-05,Tier 1 (Hard)
Phatr3_J49656,t1_Fe_deplete_vs_t1_Mn_deplete,-1.931383333333333,4.790498232126697e-05,Tier 1 (Hard)
Phatr3_J35592,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9287833333333333,4.923718480513851e-05,Tier 1 (Hard)
Phatr3_J48852,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9201336666666664,5.4875725568329606e-05,Tier 1 (Hard)
